flare;radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta
0;-1.0460425;-1.1744034;-0.91168629;-0.58971481;0;0;0;0;0;0;0;0
0;-1.0460425;-1.00888763;-0.89449853;-0.58828514;0;0;0;0;0;0;0;0
0;-1.0222559;-0.76813744;-0.86012302;-0.58971481;1;0;0;0;0;0;0;0
0;-0.9984693;-0.99384075;-0.87731078;-0.58971481;1;1;0;0;0;0;0;0
0;-0.9508961;-0.58757479;-0.86012302;-0.58971481;1;0;0;0;0;0;0;0
0;-0.9033228;-0.49729346;-0.70543321;-0.56398089;1;1;0;0;0;0;0;0
0;-0.8795362;-0.34682459;-0.67105769;-0.57541819;1;1;0;0;0;0;0;0
0;-0.8795362;-0.19635571;-0.51636788;-0.54539529;1;1;0;0;0;0;0;0
0;-0.8795362;-0.25654326;-0.75699648;-0.49964611;1;1;0;0;0;0;0;0
0;-0.8795362;-0.70794989;-0.84293526;-0.31807906;1;1;0;0;0;0;0;0
0;-0.831963;-0.37691836;-0.53355564;-0.28948582;0;1;0;0;0;0;0;0
0;-0.8081764;-0.31673081;-0.67105769;-0.49106814;1;1;0;0;0;0;0;0
0;-0.7843897;-0.25654326;-0.60230667;-0.52823935;1;1;0;0;0;0;0;0
0;-0.831963;-0.43710591;-0.67105769;-0.51966138;1;1;0;0;0;0;0;0
0;-0.8795362;-0.27159015;-0.70543321;-0.5525436;1;1;0;0;0;0;0;0
0;-0.8795362;-0.67785611;-0.73980872;-0.54253597;1;1;0;0;0;0;0;0
0;-0.9271094;-0.82832499;-0.80855975;-0.52823935;1;0;0;0;0;0;0;0
0;-0.9271094;-1.00888763;-0.80855975;-0.57970717;1;0;0;0;0;0;0;0
0;-0.9746827;-1.00888763;-0.80855975;-0.58542582;1;0;0;0;0;0;0;0
0;-0.9508961;-1.00888763;-0.82574751;-0.58971481;1;0;0;0;0;0;0;0
0;-0.9508961;-1.00888763;-0.80855975;-0.5825665;1;0;0;0;0;0;0;0
0;-0.9271094;-0.72299677;-0.58511891;-0.54396563;1;0;0;0;0;0;0;0
0;-0.9033228;-1.00888763;-0.87731078;-0.48963848;1;0;0;0;0;0;0;0
0;-0.8795362;-1.1744034;-0.91168629;-0.52823935;1;0;0;0;0;0;0;0
0;-0.7843897;-0.692903;-0.75699648;-0.51966138;0;0;0;0;0;0;0;0
0;-0.7368165;-0.72299677;-0.63668218;-0.40385877;0;1;0;0;0;0;0;0
0;-0.7843897;-0.67785611;-0.72262097;-0.50107577;1;1;0;0;0;0;0;0
0;-0.5703102;-0.25654326;-0.53355564;-0.432452;1;1;0;0;0;0;0;0
1;-0.5465236;-0.16626194;-0.4304291;-0.31807906;1;0;0;1;0;0;0;0
0;-0.5465236;-0.13616816;-0.53355564;0.49682819;1;0;0;1;0;0;0;0
0;-0.4513771;0.0293476;-0.49918013;-0.41815539;0;1;0;1;0;0;0;0
0;-0.5227369;0.17981647;-0.49918013;-0.33237568;1;1;0;0;0;0;0;0
1;-0.5465236;-0.16626194;-0.49918013;-0.432452;1;0;0;1;0;0;0;0
0;-0.5227369;-0.34682459;-0.48199237;-0.24659596;1;1;0;0;0;0;0;0
0;-0.5227369;-0.3317777;-0.36167807;-0.38956215;1;1;0;0;0;0;0;0
0;-0.4513771;0.01430071;-0.22417602;-0.36096891;1;1;0;0;0;0;0;0
0;-0.4038038;0.10458203;-0.20698826;-0.31807906;1;1;0;0;0;0;0;0
0;-0.3086574;0.08953515;0.18833015;-0.00355345;1;1;0;0;0;0;0;0
1;0.0957151;0.28514468;0.8070894;-0.16081625;1;1;0;0;0;0;0;0
0;0.0243553;0.34533223;1.4430364;-0.00355345;0;1;0;0;0;0;0;0
0;0.0005687;0.25505091;1.82116705;-0.20370611;0;1;0;1;0;0;0;0
0;-0.142151;0.30019157;1.58053846;-0.30378244;0;1;0;1;0;0;0;0
0;-0.142151;0.28514468;0.89302818;-0.33237568;0;1;0;1;0;0;0;0
0;-0.1659377;-0.40701214;0.39458323;-0.26089258;0;1;0;0;0;0;1;0
0;-0.2848708;-0.06093373;0.4461465;-0.31807906;0;1;0;1;0;0;0;0
0;-0.4038038;-0.25654326;0.41177099;-0.08933316;1;1;0;1;0;0;0;0
0;-0.4751637;-0.24149638;0.4461465;-0.2751892;0;1;0;1;0;0;0;0
1;-0.5227369;-0.39196525;-0.0694862;-0.33237568;1;1;0;0;0;0;0;0
0;-0.64167;-0.72299677;-0.56793115;-0.14651964;1;1;0;0;0;0;0;0
0;-0.64167;-0.90355942;-0.75699648;-0.26089258;1;1;0;0;0;0;0;0
0;-0.64167;-0.94870009;-0.80855975;-0.13222302;0;1;0;0;0;0;0;0
0;-0.7130299;-0.58757479;-0.75699648;-0.31807906;0;1;0;0;0;0;0;0
0;-0.6178834;-0.46719969;-0.51636788;-0.46104524;1;1;0;0;0;0;0;0
0;-0.5465236;-0.4521528;-0.41324134;-0.46104524;1;1;0;0;0;0;0;0
1;-0.5227369;-0.46719969;-0.39605358;-0.23229935;1;1;0;0;0;0;0;0
0;-0.6178834;-0.42205903;-0.36167807;-0.38956215;1;0;0;1;0;0;0;0
0;-0.6178834;-0.5725279;-0.46480461;-0.4739122;0;1;0;1;0;0;0;0
0;-0.64167;-0.67785611;-0.49918013;-0.50965374;1;1;0;0;0;0;0;0
0;-0.6654566;-0.82832499;-0.46480461;-0.40385877;1;1;0;0;0;0;0;0
0;-0.5940968;-0.76813744;-0.53355564;-0.47677152;0;1;0;0;0;0;0;0
0;-0.64167;-0.79823121;-0.46480461;-0.30378244;1;1;0;0;0;0;0;0
0;-0.6654566;-0.60262167;-0.63668218;-0.34667229;1;1;0;0;0;0;0;0
0;-0.6892433;-0.78318432;-0.77418424;-0.48249017;1;1;0;0;0;0;0;0
0;-0.6892433;-0.76813744;-0.75699648;-0.49106814;1;1;0;0;0;0;0;0
0;-0.7606031;-0.78318432;-0.79137199;-0.49964611;1;1;0;0;0;0;0;0
0;-0.7368165;-0.78318432;-0.84293526;-0.54253597;1;1;0;0;0;0;0;0
0;-0.7368165;-0.8132781;-0.87731078;-0.55111394;1;1;0;0;0;0;0;0
0;-0.7368165;-0.64776234;-0.89449853;-0.55111394;1;1;0;0;0;0;0;0
