flare;radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta
0;98;97;270;0.00000013;1;1;0;0;0;0;0;0
0;97;94;270;0.00000017;1;1;0;0;0;0;0;0
0;95;72;280;0.00000015;0;1;0;0;0;0;0;0
0;96;99;230;0.00000015;1;1;0;0;0;0;0;0
0;93;64;250;0.00000018;1;1;0;0;0;0;0;0
0;89;70;260;0.00000011;1;1;0;0;0;0;0;0
0;90;66;230;0.00000016;1;1;0;0;0;0;0;0
0;89;56;220;0.00000014;1;1;0;0;0;0;0;0
0;85;43;240;0.00000011;1;1;0;0;0;0;0;0
0;86;42;200;0.000000062;1;1;0;0;0;0;0;0
0;86;35;130;0.000000045;1;1;0;0;0;0;0;0
0;90;16;70;0.00000015;0;1;0;0;0;0;0;0
0;90;27;110;0.00000022;0;1;0;0;0;0;0;0
0;92;30;190;0.00000019;1;1;0;0;0;0;0;0
0;97;41;260;0.00000016;0;1;0;0;0;0;0;0
0;104;72;700;0.00000021;1;0;0;1;0;0;0;0
0;108;67;520;0.00000019;1;1;0;0;0;0;1;0
0;105;56;470;0.00000014;1;1;0;0;0;0;1;0
0;105;50;460;0.00000018;1;0;0;1;0;0;0;0
0;96;56;420;0.00000014;1;1;0;1;0;0;0;0
0;102;55;410;0.00000012;1;1;0;1;0;0;0;0
0;104;79;470;0.00000012;0;1;0;1;0;0;0;0
0;101;56;430;0.00000014;0;1;0;0;0;0;1;0
0;105;64;430;0.00000012;0;1;0;1;0;0;1;0
1;102;55;390;0.00000016;1;1;0;0;0;0;1;0
1;101;50;290;0.00000022;0;1;0;1;0;0;0;0
1;101;31;160;0.00000041;1;1;0;0;0;0;0;0
0;91;30;120;0.00000012;0;1;0;0;0;0;0;0
0;89;22;50;0.000000078;0;1;0;0;0;0;0;0
0;87;23;20;0.000000055;1;0;0;0;0;0;0;0
0;85;0;0;0.000000041;1;0;0;0;0;0;0;0
0;82;0;0;0.000000028;0;0;0;0;0;0;0;0
0;82;0;0;0.00000002;0;0;0;0;0;0;0;0
0;81;14;10;0.000000012;0;0;0;0;0;0;0;0
0;85;51;40;0.000000012;0;1;0;0;0;0;0;0
0;96;60;200;0.000000094;1;1;0;0;0;0;0;0
0;90;54;160;0.00000022;1;1;0;1;0;0;0;0
0;94;43;190;0.00000011;1;1;0;1;0;0;0;0
1;98;46;350;0.00000032;0;1;0;1;0;0;0;0
0;98;88;350;0.00000017;0;1;0;1;0;0;0;0
0;96;89;330;0.00000012;1;1;0;1;0;0;0;0
0;95;67;270;0.000000092;1;1;0;1;0;0;0;0
0;94;88;90;0.000000094;1;1;0;0;0;0;0;0
0;91;50;30;0.000000092;1;1;0;0;0;0;0;0
0;91;25;10;0.000000071;1;1;0;0;0;0;0;0
0;93;37;30;0.000000061;0;1;0;0;0;0;0;0
0;97;57;100;0.000000097;1;1;0;0;0;0;0;0
0;98;88;250;0.00000012;1;1;0;0;0;0;0;0
1;108;104;350;0.00000011;1;1;0;0;0;0;0;0
0;100;99;420;0.00000014;1;1;0;1;0;0;0;0
0;101;98;420;0.00000012;1;1;0;1;0;0;0;0
0;97;89;590;0.000000083;1;1;0;1;0;0;0;0
0;94;71;230;0.000000074;0;1;0;1;0;0;0;0
0;91;41;140;0.0000001;1;1;0;1;0;0;0;0
0;89;37;120;0.000000052;1;1;0;0;0;0;0;0
0;91;25;120;0.000000044;1;0;0;0;0;0;0;0
0;89;23;110;0.000000053;1;1;0;0;0;0;0;0
0;89;39;120;0.000000049;1;1;0;0;0;0;0;0
0;89;26;110;0.000000044;1;1;0;0;0;0;0;0
0;86;40;90;0.000000065;0;1;0;0;0;0;0;0
0;84;41;100;0.000000026;1;1;0;0;0;0;0;0
0;83;27;70;0.000000026;1;1;0;0;0;0;0;0
0;84;37;80;0.000000036;1;1;0;0;0;0;0;0
0;84;34;60;0.000000038;1;1;0;0;0;0;0;0
0;84;62;110;0.000000045;1;1;0;0;0;0;0;0
0;86;63;80;0.000000033;1;1;0;0;0;0;0;0
0;91;67;220;0.000000051;1;1;0;0;0;0;0;0
0;95;62;310;0.000000063;1;1;0;0;0;0;0;0
0;105;88;390;0.00000012;1;1;0;0;0;0;0;0
0;107;86;410;0.00000032;1;1;0;0;0;0;0;0
0;107;88;580;0.00000017;1;1;0;0;0;0;0;0
0;91;85;540;0.00000022;0;1;0;0;0;0;0;0
0;103;64;420;0.00000012;1;1;0;0;0;0;0;0
0;99;57;420;0.00000013;0;1;0;1;0;0;0;0
0;96;29;360;0.000000093;1;1;0;0;0;0;0;0
0;99;28;360;0.000000068;1;0;0;1;0;0;0;0
0;96;38;230;0.000000071;0;1;0;0;0;0;0;0
0;99;59;140;0.00000021;1;1;0;0;0;0;0;0
0;99;78;110;0.00000026;0;1;0;0;0;0;0;0
0;95;69;200;0.00000016;1;1;0;0;0;0;0;0
0;93;69;200;0.000000067;1;1;0;0;0;0;0;0
0;90;78;140;0.000000045;1;1;0;0;0;0;0;0
0;94;60;100;0.000000063;1;1;0;0;0;0;0;0
0;98;93;280;0.00000011;0;1;0;0;0;0;0;0
0;98;105;300;0.00000013;1;1;0;0;0;0;0;0
0;97;56;310;0.00000022;1;1;0;0;0;0;0;0
0;102;55;560;0.00000032;1;1;0;0;0;0;0;0
0;97;42;710;0.00000057;1;1;0;1;0;0;0;0
0;92;54;400;0.00000021;0;1;0;1;0;0;0;0
0;92;54;80;0.00000023;0;1;0;0;0;0;0;0
0;91;57;130;0.00000016;1;1;0;0;0;0;0;0
0;90;49;150;0.00000014;1;1;0;0;0;0;0;0
0;96;75;280;0.00000015;1;1;0;0;0;0;0;0
0;101;83;370;0.0000001;1;1;0;0;0;0;0;0
0;102;114;300;0.00000018;1;1;0;0;0;0;0;0
0;105;115;360;0.00000012;1;1;0;0;0;0;0;0
0;120;119;420;0.00000022;1;1;0;0;0;0;0;0
1;133;110;900;0.00000042;1;1;0;1;0;0;0;0
1;124;92;990;0.00000054;1;1;0;0;0;0;1;0
0;126;81;910;0.00000068;1;1;0;1;0;0;0;0
1;127;102;930;0.00000033;1;1;0;1;0;0;0;0
1;125;80;880;0.00000035;1;1;0;1;0;0;0;0
0;127;100;910;0.0000005;1;1;0;1;0;0;0;0
0;126;95;810;0.00000045;1;1;0;1;0;0;0;0
